name;date;year;driver;forename
"European Grand Prix";"2006-05-07";2006;"Schumacher";"Michael"
"United States Grand Prix";"2006-07-02";2006;"Schumacher";"Michael"
"French Grand Prix";"2006-07-16";2006;"Schumacher";"Michael"
"German Grand Prix";"2006-07-30";2006;"Schumacher";"Michael"
"Turkish Grand Prix";"2006-08-27";2006;"Massa";"Felipe"
"Italian Grand Prix";"2006-09-10";2006;"Schumacher";"Michael"
"Chinese Grand Prix";"2006-10-01";2006;"Schumacher";"Michael"
"Brazilian Grand Prix";"2006-10-22";2006;"Massa";"Felipe"
"Australian Grand Prix";"2007-03-18";2007;"Räikkönen";"Kimi"
"Bahrain Grand Prix";"2007-04-15";2007;"Massa";"Felipe"
"Spanish Grand Prix";"2007-05-13";2007;"Massa";"Felipe"
"French Grand Prix";"2007-07-01";2007;"Räikkönen";"Kimi"
"British Grand Prix";"2007-07-08";2007;"Räikkönen";"Kimi"
"Turkish Grand Prix";"2007-08-26";2007;"Massa";"Felipe"
"Belgian Grand Prix";"2007-09-16";2007;"Räikkönen";"Kimi"
"Chinese Grand Prix";"2007-10-07";2007;"Räikkönen";"Kimi"
"Brazilian Grand Prix";"2007-10-21";2007;"Räikkönen";"Kimi"
"Malaysian Grand Prix";"2008-03-23";2008;"Räikkönen";"Kimi"
"Bahrain Grand Prix";"2008-04-06";2008;"Massa";"Felipe"
"Spanish Grand Prix";"2008-04-27";2008;"Räikkönen";"Kimi"
"Turkish Grand Prix";"2008-05-11";2008;"Massa";"Felipe"
"French Grand Prix";"2008-06-22";2008;"Massa";"Felipe"
"European Grand Prix";"2008-08-24";2008;"Massa";"Felipe"
"Belgian Grand Prix";"2008-09-07";2008;"Massa";"Felipe"
"Brazilian Grand Prix";"2008-11-02";2008;"Massa";"Felipe"
"Belgian Grand Prix";"2009-08-30";2009;"Räikkönen";"Kimi"
"Bahrain Grand Prix";"2010-03-14";2010;"Alonso";"Fernando"
"German Grand Prix";"2010-07-25";2010;"Alonso";"Fernando"
"Italian Grand Prix";"2010-09-12";2010;"Alonso";"Fernando"
"Singapore Grand Prix";"2010-09-26";2010;"Alonso";"Fernando"
"Korean Grand Prix";"2010-10-24";2010;"Alonso";"Fernando"
"British Grand Prix";"2011-07-10";2011;"Alonso";"Fernando"
"Malaysian Grand Prix";"2012-03-25";2012;"Alonso";"Fernando"
"European Grand Prix";"2012-06-24";2012;"Alonso";"Fernando"
"German Grand Prix";"2012-07-22";2012;"Alonso";"Fernando"
"Chinese Grand Prix";"2013-04-14";2013;"Alonso";"Fernando"
"Spanish Grand Prix";"2013-05-12";2013;"Alonso";"Fernando"
"Malaysian Grand Prix";"2015-03-29";2015;"Vettel";"Sebastian"
"Hungarian Grand Prix";"2015-07-26";2015;"Vettel";"Sebastian"
"Singapore Grand Prix";"2015-09-20";2015;"Vettel";"Sebastian"
"Australian Grand Prix";"2017-03-26";2017;"Vettel";"Sebastian"
"Bahrain Grand Prix";"2017-04-16";2017;"Vettel";"Sebastian"
"Monaco Grand Prix";"2017-05-28";2017;"Vettel";"Sebastian"
"Hungarian Grand Prix";"2017-07-30";2017;"Vettel";"Sebastian"
"Brazilian Grand Prix";"2017-11-12";2017;"Vettel";"Sebastian"
"Australian Grand Prix";"2018-03-25";2018;"Vettel";"Sebastian"
"Bahrain Grand Prix";"2018-04-08";2018;"Vettel";"Sebastian"
"Canadian Grand Prix";"2018-06-10";2018;"Vettel";"Sebastian"
"British Grand Prix";"2018-07-08";2018;"Vettel";"Sebastian"
"Belgian Grand Prix";"2018-08-26";2018;"Vettel";"Sebastian"
"United States Grand Prix";"2018-10-21";2018;"Räikkönen";"Kimi"
"Belgian Grand Prix";"2019-09-01";2019;"Leclerc";"Charles"
"Italian Grand Prix";"2019-09-08";2019;"Leclerc";"Charles"
"Singapore Grand Prix";"2019-09-22";2019;"Vettel";"Sebastian"
